"","UID","Site","Country","State","Latitude","Longitude","Lat.Long.source","C14","SD","AMS","Material","Laboratory","Reference","Context","OBS","NEW","C14Cor","bp","optional"
"31",31,"Hajji Firuz Tepe","Iran","West Azarbaijan",36.991667,45.457778,"M",7926,86,"null","Charcoal, clay & ash","P-455","M","","","",7926,8778,TRUE
"32",32,"Hallur","India","Karnataka",14.333333,75.616667,"AGK",3665,105,"No","Charcoal: Polyalthia sp., Anogeissus and Albizzia sp.","TF-580","PR2, IAR65-66","Allchin Period II, Neolithic, Trench 1, Layer 14","","",3561,4000,TRUE
"33",33,"Hanumantaraopeta","India","Andhra Pradesh",15.030812,78.3803,"Google Earth",3295,30,"","Seed: Hordeum","BA-04394","FBK","","HRP97.1-5, Direct date on barley","Yes",3167,3512,TRUE
"34",34,"Harappa","Pakistan","Punjab",30.628889,72.863889,"Google Earth",3463,28,"Yes","Seed: Hordeum","OxA-30064","Liu et al. 2017","","Direct date on barley","Yes",NA,3738,TRUE
"35",35,"Hattibelagallu","India","Andhra Pradesh",15.365428,77.224637,"Google Earth",3475,40,"Yes","Seed: Macrotyloma uniflorum","BA-05778","FH","","","",3377,3750,TRUE
"36",36,"Hiregguda","India","Karnataka",15.17988,76.965279,"Google Earth",3382,35,"","Seed: Hordeum","B-28680/17","Liu et al. 2017","","Direct date on barley","Yes",3158,3616,TRUE
"37",37,"Hormangan","Iran","Fars",30.507476,53.515374,"",7420,25,"","Charcoal","PLD-32545","Khanipour et al. 2021","Trench 1, Context 1038","","Yes",NA,8263,TRUE
"38",38,"Huli Kallu","India","Andhra Pradesh",15.050817,77.206091,"Google Earth",2970,150,"null","Charcoal","PRL-633","IAR82-83","","","",2886,3133,TRUE
"39",39,"Inamgaon","India","Maharashtra",18.583333,74.533333,"AGK2",3515,90,"No","Charcoal","TF-1001","PR2, IAR70-71","Chalcolithic, Trench D1, Layer 8","Maharashtra Chalco","Yes",NA,3789,TRUE
"40",40,"Jani","Iran","Kermanshah",33.947778,46.783333,"M",8140,60,"null","null","Beta-258649","M","","","",8140,9090,TRUE
"41",41,"Jebel","Turkmenistan","Balkan",39.338475,54.164972,"Brunet 1998",6030,240,"","Charcoal","LE-1","Brunet 1998","Neolithic","","Yes",NA,6885,TRUE
"42",42,"Jeitun","Turkmenistan","Ahal",37.95,58.233333,"M",7270,100,"Yes","T. monoccocum","OxA-2914","M","","","",7270,8093,TRUE
"43",43,"Kanispur","India","Kashmir",34.226389,74.408333,"Google Earth",3880,30,"Yes","Seed: Hordeum","Beta-427232","Liu et al. 2017","","Direct date on barley","Yes",NA,4320,TRUE
"44",44,"Kanmer","India","Gujarat",23.507222,70.8775,"Google Earth",3880,30,"","Seed: Hordeum","PLD-16352","Liu et al. 2017","","Direct date on barley","Yes",NA,4320,TRUE
"45",45,"Kanmer","India","Gujarat",23.507222,70.8775,"Google Earth",3835,20,"","Seed: Hordeum","PLD-17147","Liu et al. 2017","","Direct date on barley","Yes",NA,4229,TRUE
"46",46,"Kayatha I","India","Madhya Pradesh",23.233333,76.033333,"AGK",3965,95,"No","Charcoal","TF-680","PR2, IAR67-68","Kayatha Period, Chalcolithic, Trench KTH-3, Layer 13","Wheat","Yes",NA,4420,TRUE
"47",47,"Khed","India","Maharashtra",17.71933,73.396747,"Google Earth",3130,90,"No","Charcoal","PRL-221","PR2, IAR75-76","Jorwe, Trench KHD, Layer 7","Maharashtra Chalco","Yes",NA,3332,TRUE
"48",48,"Khirsara","India","Gujarat",23.110321,69.021837,"Google Earth",3750,30,"Yes","Seed: Hordeum","Beta-427231","Liu et al. 2017","","Direct date on barley","Yes",NA,4111,TRUE
"49",49,"Kiari","India","Jammu and Kashmir",33.475928,78.126373,"Google Earth",2890,160,"null","Charcoal","PRL-1400","IAR89-90","","","",2808,3046,TRUE
"50",50,"Kili Gul Muhammad","Pakistan","Baluchistan",30.196352,67.019211,"Google Earth",5662,500,"null","null","L-180A","S2","","","",5502,6473,TRUE
"51",51,"Koldihwa","India","Uttar Pradesh",24.908333,82.033333,"C",3269,29,"","Seed: Hordeum","OxA-14094","Liu et al. 2017","","Direct date on barley","Yes",NA,3480,TRUE
"52",52,"Kunal","India","Haryana",29.626389,75.658333,"L",4250,130,"No","null","Beta-77727","IAR97-98","Period IA, Trench YA2, Qd II, Layer 10","Upper Ganges Harappan","Yes",NA,4796,TRUE
"53",53,"Kuntasi","India","Gujarat",22.891941,70.599729,"L",3820,170,"No","Charcoal","PRL-1370","DRC, IAR89-90","Trench J5, Locus NW, Layer 12","","Yes",NA,4217,TRUE
"54",54,"Lahuradewa","India","Uttar Pradesh",26.77,82.949722,"Google Earth",3827,147,"","Seed: Hordeum","Erl-6903","Liu et al. 2017","","Direct date on barley","Yes",NA,4226,TRUE
"55",55,"Langhnaj","India","Gujarat",23.446722,72.498185,"Google Earth",3991,105,"null","Bones","TF-744","PR2, IAR67-68","","","",3878,4465,TRUE
"56",56,"Mahagara","India","Uttar Pradesh",24.913889,82.055556,"C",3430,100,"null","null","BS-128","PR2","","","",3333,3685,TRUE
"57",57,"Mahagara","India","Uttar Pradesh",24.913889,82.055556,"C",2546,29,"","Seed: Hordeum","OxA-14097","Liu et al. 2017","","Direct date on barley","Yes",NA,2629,TRUE
"58",58,"Masudspur VII","India","Haryana",29.228381,75.971297,"Google Earth",4040,30,"Yes","Seed: Hordeum","Beta-427238","Liu et al. 2017","","Direct date on barley","Yes",NA,4492,TRUE
"59",59,"Miri Qalat","Pakistan","Baluchistan",26.033333,63,"Tengberg (1999)",5090,100,"","","Gif-8508","Besenval (1997)","Period II, Level IV","","Yes",NA,5822,TRUE
"60",60,"Mohenjo-daro","Pakistan","Sind",27.325176,68.136612,"L",4030,64,"No","Charred door jamb","P-1179","S2","Harappan levels, Harappan","","Yes",NA,4515,TRUE
"61",61,"Mundigak","Afghanistan","Kandahar",31.963854,65.511447,"L",5095,107,"null","null","TF-1129","S2","","","",4951,5828,TRUE
"62",62,"Nevasa","India","Maharashtra",19.550674,74.927977,"Google Earth",3205,110,"No","null","TF-40","PR2","Jorwe","Maharashtra Chalco","Yes",NA,3422,TRUE
"63",63,"Paiyampalli","India","Tamil Nadu",12.55,78.416667,"AGK2",3675,105,"null","Charcoal","TF-827","PR2, FBK, IAR68-69","","","",3571,4015,TRUE
"64",64,"Palavoy","India","Andhra Pradesh",14.516667,77.15,"AGK",3920,100,"null","Charcoal","TF-701","PR2, IAR67-68","","","",3809,4347,TRUE
"65",65,"Pandu Rajar Dhibi","India","West Bengal",23.916667,87.65,"Google Earth",3130,110,"null","Charcoal","PRL-1184","IAR90-91, IAR88-89","","","",3042,3326,TRUE
"66",66,"Piklihal","India","Karnataka",15.965704,76.450238,"Google Earth",3445,40,"Yes","Seed: Lens culinaris","BA-05772","FH","3348 originally","","",3348,3704,TRUE
"67",67,"Pirak","Pakistan","Baluchistan",29.5,67.9,"AGK",4202,290,"null","Charcoal","Ly-1641","S2","","","",4083,4736,TRUE
"68",68,"Polakonda","India","Andhra Pradesh",17.7,79.433333,"RVS",3355,120,"null","Wood charcoal","BS-98","PR2, IAR78-79","","","",3260,3602,TRUE
"69",69,"Psideli Tepe","Iran","West Azarbaijan",37,45.483333,"M",5638,85,"null","Ashy soil","P-505","M","","","",5638,6428,TRUE
"70",70,"Qermez Dere","Iraq","Ninawa",36.371291,42.451447,"Google Earth",10145,90,"null","null","OxA-3752","AF","","","",10145,11748,TRUE
"71",71,"Rana Ghundai","Pakistan","Baluchistan",30.4,68.75,"L",5747,60,"null","null","P-2148","S2","","","",5585,6545,TRUE
"72",72,"Rojdi","India","Gujarat",21.863056,70.918889,"L",4270,110,"No","Charcoal","PRL-1091","IAR86-87","Post-urban Harappan, Trench 45K","Mature Harappan/Rojdi C have SWA","Yes",NA,4832,TRUE
"73",73,"Said Qala Tepe","Afghanistan","Kandahar",31.533828,65.592094,"L",3821,90,"null","null","DIC-20","S2","","","",3713,4220,TRUE
"74",74,"Sannarachamma (Sanganakallu)","India","Karnataka",15.1833,76.9667,"AK2",3550,40,"Yes","Seed: Triticum sp.","R-28680/4","BKF, FBK","SAN 1204 (lowest ashmound)","","Yes",NA,3842,TRUE
"75",75,"Sanyasula Gavi","India","Andhra Pradesh",15.467222,78.216667,"PKB",3515,35,"Yes","Seed: Vigna radiata","R-28680/33","FH, PKB","","","",3416,3779,TRUE
"76",76,"Seh Gabi","Iran","Kermanshah",34.583333,48,"M",6220,80,"null","null","Sl-2668","M","","","",6220,7106,TRUE
"77",77,"Sheikh-e Abad","Iran","Kermanshah",34.611667,47.269722,"M",9810,60,"null","Ash","Beta-258647","M","","","",9810,11228,TRUE
"78",78,"Sohr Damb/Nal","Pakistan","Baluchistan",26.5,65.466667,"L",4501,32,"null","null","Bln-5384","GFV","","","",4501,5162,TRUE
"79",79,"Songaon I","India","Maharashtra",18.65,74.0833,"AK2",3515,105,"No","Charcoal","TF-384","PR2, IAR66-67","Blotchy Gray Ware, Coarse Red Ware, Jorwe culture","Maharashtra Chalco","Yes",NA,3790,TRUE
"80",80,"Tal-i Bakun B","Iran","Isfahan",33.166667,52.833333,"M",6264,70,"Yes","Ash","P-931","M","","","",6264,7178,TRUE
"81",81,"Tal-i Gap","Iran","Fars",29.916667,53,"M",5870,160,"null","Charcoal","GaK-197","M","","","",5870,6694,TRUE
"82",82,"Tal-i Iblis","Iran","Khuzestan",32.2,48.216667,"M",6210,130,"null","null","Gx-869","M","","","",6210,7092,TRUE
"83",83,"Tal-i Jari B","Iran","Fars",29.933333,52.883333,"M",7297,45,"Yes","Charred bone","AA-65264","M","","","",7297,8103,TRUE
"84",84,"Tal-i Mushki","Iran","Fars",29.752947,53.008291,"Google Earth",7425,35,"","Charcoal","TKa-13817","Khanipour et al. 2021","MS-LI1 2al","","",NA,8262,TRUE
"85",85,"Tapeh Mahtaj","Iran","Khuzestan",30.635456,50.203919,"Darabi et al. 2021",8125,42,"Yes","Charcoal","26665","Darabi et al. 2021","Middle phase, context 3002","","Yes",NA,9069,TRUE
"86",86,"Tekkalakota","India","Karnataka",15.534522,76.879198,"Google Earth",3570,105,"null","Charcoal: Soymida Jebrifuga","TF-237","PR2, IAR75-76","","","",3469,3868,TRUE
"87",87,"Tepe Abdul Hosein","Iran","Hamadan",34.183333,48.166667,"M",8945,275,"null","null","GX-6356","M","","","",8945,10037,TRUE
"88",88,"Tepe Asiab","Iran","Kermanshah",34.3,47.066667,"M",9775,85,"null","Charcoal","GrN-6413","M","","","",9775,11192,TRUE
"89",89,"Tepe Ebrahim Abad","Iran","Qazvin",36.062798,50.138179,"Pollard et al. 2012",6579,33,"","Charcoal","OxA-17607","Pollard et al. 2012","","","Yes",NA,7476,TRUE
"90",90,"Tepe Gaz Tavileh","Iran","Kerman",28.3333,56.5833,"AKK",6670,150,"null","Charcoal","PRL-744","AKK","","","",6670,7542,TRUE
"91",91,"Tepe Guran","Iran","Ilam",32.5,47.25,"M",8280,40,"Yes","Bone (collagen)","Beta-177177","M","","","",8280,9281,TRUE
"92",92,"Tepe Sabz","Iran","Ilam",32.6,47.266667,"M",9050,160,"null","Chunks of carbonized wood","UCLA-750C","M","","","",9050,10181,TRUE
"93",93,"Tepe Sarab","Iran","Kermanshah",34.65,47.25,"M",8070,60,"Yes","Bone (collagen)","Beta-159550","M","","","",8070,8976,TRUE
"94",94,"Tepe Siahbid","Iran","Kermanshah",34.5,47.25,"M",5870,120,"null","null","QU-1035","M","","","",5870,6687,TRUE
"95",95,"Tepe Sialk","Iran","Isfahan",34.383333,51.633333,"M",5700,90,"null","Organic material (barley?)","Gx-949","M","","","",5700,6495,TRUE
"96",96,"Tepe Yahya","Iran","Hormozgan",28.330867,56.867317,"Google Earth",6670,180,"null","null","PRL-748","M","","Ceramic","",6670,7542,TRUE
"97",97,"Tepe Zagheh","Iran","Qazvin",35.869663,49.941201,"Pollard et al. 2012",6410,50,"","Charcoal","WK-12862","Pollard et al. 2012","There is an earliest date which is not considered correct","","",NA,7336,TRUE
"98",98,"Terdal","India","Karnataka",16.499212,75.049814,"Google Earth",3885,100,"null","Charcoal","TF-684","IAR67-68","","","",3775,4302,TRUE
"99",99,"Tigrana","India","Haryana",28.862,76.137,"Google Earth",3981,36,"Yes","Seed: Hordeum","OxA-29982","Liu et al. 2017","","Direct date on barley","Yes",NA,4462,TRUE
"100",100,"Tirumukkudal Narasipur","India","Karnataka",12.2167,76.9167,"AK2",3755,105,"null","Charcoal","TF-412","PR2, FBK, IAR65-66","","","",3649,4126,TRUE
"101",101,"Togolok-Depe","Turkmenistan","Ahal",38.12,62,"Brunet 1998",7320,100,"","Charcoal","Bln-719","Brunet 1998","Neolithic","","Yes",NA,8130,TRUE
"102",102,"Tol-e Bashi","Iran","Fars",30.04,52.69,"Khanipour et al. 2021",7283,43,"","","AA56351","Khanipour et al. 2021","Unite: Loc. 61, Level V","","",NA,8101,TRUE
"103",103,"Tol-e Nurabad","Iran","Fars",30.116667,51.5,"M",6977,56,"Yes","Charcoal","WK-13990","M","","","",6977,7807,TRUE
"104",104,"Velpumudugu","India","Andhra Pradesh",15.050817,77.206091,"Google Earth",3029,35,"Yes","Seed: Macrotyloma uniflorum","R-28680/24","FH, FBK","","","",2943,3232,TRUE
"105",105,"Yanik Tepe","Iran","East Azerbaijan",37.933333,45.9,"M",7035,69,"null","Charcoal","P-1244","M","","","",7035,7860,TRUE
"106",999,"Ahar Ia","India","Uttar Pradesh",24.587243,73.718542,"L",4095,95,"No","null","V-57","PR2","top","AHAR culture","Yes",NA,4616,TRUE
"107",999,"Allahdino","Pakistan","Sind",24.953012,67.31015,"L",4050,50,"No","null","P-2296","S2","Upper levels, Harappan","HARAPPAN","Yes",NA,4536,TRUE
"108",999,"Babarkot","India","Gujarat",20.871828,71.407615,"Google Earth",4130,90,"No","Charcoal","PRL-1492","IAR91-92","Sorath Harappan, Trench 26M, Locus SW + SEQUAD, Layer 4","HARAPPAN","Yes",NA,4655,TRUE
"109",999,"Balakot","Pakistan","Sind",25.447182,66.727038,"L",4167,130,"No","null","HAR-1992","S2","Harappan levels, Harappan","HARAPPAN","Yes",NA,4683,TRUE
"110",999,"Banawali","India","Haryana",29.618056,75.385,"IAR96-97",3930,180,"No","Charcoal","PRL-205","S2, IAR75-76","Period II, Harappan, Trench ZB1, Layer 14","HARAPPAN","Yes",NA,4368,TRUE
"111",999,"Bara","India","Punjab",30.919915,76.522801,"L",3840,92,"No","Wood charcoal","TF-1205","S2, IAR71-72","Lower levels, Kot Diji, Bara 5, Layer 9","KOT DIJI","Yes",NA,4246,TRUE
"112",999,"Barkhera","India","Madhya Pradesh",24.678541,75.223789,"Google Earth",3265,105,"No","Charcoal","PRL-111","PR2, IAR74-75","Chalcolithic, Layers II-III","CHALCO","Yes",NA,3496,TRUE
"113",999,"Chandoli","India","Uttar Pradesh",25.261232,83.261135,"Google Earth",3280,68,"No","null","P-473","PR2","Jorwe","JORWE Chalco","Yes",NA,3506,TRUE
"114",999,"Dangawada","India","Madhya Pradesh",23.05,76.1,"SM",3930,150,"No","Charred grains","PRL-687","IAR84-85","Malwa Culture, Trench IV, Layer 9","MALWA Chalco; maybe choose a later date","Yes",NA,4367,TRUE
"115",999,"Dholavira","India","Gujarat",23.887172,70.213735,"L",4400,90,"No","Charcoal","PRL-1505","IAR91-92","Harappa Culture, Trench 48 X 92 X 3+4, Layer 29","HARAPPAN","Yes",NA,5024,TRUE
"116",999,"Ghaligai","Pakistan","Khyber Pakhtunkhawa",34.656062,72.255864,"Google Earth",3873,55,"No","null","R-378","S2","Swat Valley Period II, Kot Diji","KOT DIJI","Yes",NA,4297,TRUE
"117",999,"Gumla","Pakistan","Khyber Pakhtunkhawa",31.883237,70.833268,"L",4198,72,"No","null","P-1812","S2","Period II, Kot Diji","KOT DIJI","Yes",NA,4715,TRUE
"118",999,"Hatala","Pakistan","Khyber Pakhtunkhawa",32.016642,70.597203,"L",4164,60,"No","null","P-1813","S2","Trench Y, Layer 2, Kot Diji","KOT DIJI","Yes",NA,4695,TRUE
"119",999,"Hissam Dheri","Pakistan","Khyber Pakhtunkhawa",32.000029,70.816966,"L",3832,80,"No","null","WIS-1703","S2","Harappan levels, Harappan","HARAPPAN","Yes",NA,4237,TRUE
"120",999,"Hulas","India","Uttar Pradesh",29.699926,77.366613,"L",3950,110,"No","Charcoal","PRL-1031","IAR86-86","Early phase of Late Harappan, Trench XH-8, Qd 1, Layer 8","HARAPPAN; may be too old","Yes",NA,4395,TRUE
"121",999,"Jhang","Pakistan","Punjab",33.56665,72.666667,"L",4145,50,"No","null","BM-2201","S2","Kot Dijian levels, Kot Diji","KOT DIJI","Yes",NA,4684,TRUE
"122",999,"Kalibangan","India","Rajasthan",29.474327,74.130858,"L",4182,100,"No","null","TF-160","S2","Period II, Harappan","HARAPPAN","Yes",NA,4698,TRUE
"123",999,"Kot Diji","Pakistan","Sind",27.347521,68.704594,"L",4544,141,"No","Charcoal","P-196","S2","Kot Dijian level, Kot Diji","KOT DIJI","Yes",NA,5188,TRUE
"124",999,"Lothal","India","Gujarat",22.522567,72.2498,"L",4030,130,"No","null","TF-136","PR2, R1, PR, S2","Period IA, I, Harappan","HARAPPAN","Yes",NA,4520,TRUE
"125",999,"Mahidpur","India","Madhya Pradesh",24.578031,77.993648,"Google Earth",3870,100,"No","Charred grains","PRL-1318","IAR90-91","Chalcolithic Culture, Trench MDP, Tr. 1, Layer 4","CHALCO","Yes",NA,4283,TRUE
"126",999,"Mitathal","India","Haryana",28.891718,76.169803,"L",4330,214,"No","Charcoal","PRL-292","S2, IAR76-77","Period IIB, Punjab, Harappan, Trench MTL2, Locus O-V, Layer 4","HARAPPAN","Yes",NA,4930,TRUE
"127",999,"Nageswar","India","Gujarat",22.333333,69.1,"Google Earth",3645,60,"","Charcoal","BM-2611","Herman 1996","Mature Harappan, Trench 1, Layer 7, Depth 180 cm","HARAPPAN","Yes",NA,3967,TRUE
"128",999,"Nagwada","India","Gujarat",23.333333,71.683333,"Google Earth",3810,80,"","Charcoal","A-4555","Herman 1996","Mature Harappan, Trench I?, Layer 5","HARAPPAN","Yes",NA,4206,TRUE
"129",999,"Navdatoli","India","Madhya Pradesh",22.16311,75.583548,"Google Earth",4250,69,"No","null","P-476","PR2","Phase II (Malwa Ware, and a small amount of Jorwe Ware)","MALWA Chalco; maybe choose a later date","Yes",NA,4781,TRUE
"130",999,"Padri","India","Gujarat",21.339167,72.108889,"L",4130,150,"No","Charcoal","PRL-1534","IAR91-92","Harappan Culture, Trench J2, Layer 6, Locus 152","HARAPPAN","Yes",NA,4643,TRUE
"131",999,"Sarai Khola","Pakistan","Punjab",33.730786,72.800216,"L",4161,200,"No","null","BM-1944","S2","Period II, Kot Diji","KOT DIJI","Yes",NA,4681,TRUE
"132",999,"Surkotada","India","Gujarat",23.616667,70.833333,"L",4265,135,"No","Charcoal","PRL-85","PJ, S2, IAR73-74","Period IA, Chalcolithic, Harappan, Trench ZFI, Qd 2, Layer 13-14","HARAPPAN","Yes",NA,4827,TRUE
